
Melhores respostas:
0 13.667 [ernst_gabor_straus | orientador | *albert_einstein] - [12.000 0.667 1.000]
1 13.667 [*albert_einstein | orientador | alfred_kleiner] - [12.000 0.667 1.000]
2 13.333 [ernst_gabor_straus | orientador | *albert_einstein | ernst_gabor_straus | orientador | francis joseph murray e] - [12.000 0.333 1.000]
54 12.942 [*hans_albert_einstein | orientador | , | james_maxwell_bardeen | orientador | ,] - [11.609 0.333 1.000]
55 12.942 [alfred_brauer | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
56 12.942 [gabriel_lippmann | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
57 12.942 [boris_moishezon | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
58 12.942 [friedrich_bergius | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
59 12.942 [*hans_albert_einstein | orientador | , | leon_lichtenstein | orientador | ,] - [11.609 0.333 1.000]
60 12.942 [crispin_nash_williams | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
61 12.942 [johann_schweigger | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
62 12.942 [gustav_ludwig_hertz | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
63 12.942 [fred_hoyle | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
64 12.942 [louis_dunn | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
65 12.942 [nikolai_gunter | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
66 12.942 [*hans_albert_einstein | orientador | , | isaak_yaglom | orientador | ,] - [11.609 0.333 1.000]
67 12.942 [*hans_albert_einstein | orientador | , | aurel_wintner | orientador | ,] - [11.609 0.333 1.000]
68 12.942 [michiel_hazewinkel | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
69 12.942 [karl_popper | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
70 12.942 [*hans_albert_einstein | orientador | , | ernest_vinberg | orientador | ,] - [11.609 0.333 1.000]
71 12.942 [*hans_albert_einstein | orientador | , | isaac_jacob_schoenberg | orientador | ,] - [11.609 0.333 1.000]
72 12.942 [*hans_albert_einstein | orientador | , | jean_louis_colliot_thelene | orientador | ,] - [11.609 0.333 1.000]
73 12.942 [*hans_albert_einstein | orientador | , | neil_sloane | orientador | ,] - [11.609 0.333 1.000]
74 12.942 [pierre_simon_laplace | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
75 12.942 [johann_tobias_mayer | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
76 12.942 [*hans_albert_einstein | orientador | , | israel_halperin | orientador | ,] - [11.609 0.333 1.000]
77 12.942 [otto_volk | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
78 12.942 [ernest_vinberg | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
79 12.942 [heinz_dieter_ebbinghaus | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
80 12.942 [haim_brezis | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
81 12.942 [*hans_albert_einstein | orientador | , | august_ephraim_kramer | orientador | ,] - [11.609 0.333 1.000]
82 12.942 [jules_geheniau | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
83 12.942 [edward_james_mcshane | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
84 12.942 [*hans_albert_einstein | orientador | , | johann_schweigger | orientador | ,] - [11.609 0.333 1.000]
85 12.942 [jerry_hobbs | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
86 12.942 [persi_diaconis | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
87 12.942 [fritz_pregl | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
88 12.942 [jacques_cassini | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
89 12.942 [*hans_albert_einstein | orientador | , | johann_christian_martin_bartels | orientador | ,] - [11.609 0.333 1.000]
90 12.942 [*hans_albert_einstein | orientador | , | mihailo_petrovic | orientador | ,] - [11.609 0.333 1.000]
91 12.942 [wojciech_rubinowicz | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
92 12.942 [werner_rolfinck | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
93 12.942 [*hans_albert_einstein | orientador | , | george_forsythe | orientador | ,] - [11.609 0.333 1.000]
94 12.942 [tjalling_koopmans | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
95 12.942 [leon_lichtenstein | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
96 12.942 [viktor_meyer | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
97 12.942 [ernst_karl_abbe | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
98 12.942 [*hans_albert_einstein | orientador | , | paulo_ribenboim | orientador | ,] - [11.609 0.333 1.000]
99 12.942 [germund_dahlquist | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
